"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target"
"hsa-mir-144-3p","hsa-mir-29b-1-5p",7026,"NR2F2",344,"APOC2",1,0.001,0,0.4205,0.0365,0.038,0.006
"hsa-let-7f-2-3p","hsa-let-7g-3p",1385,"CREB1",596,"BCL2",1,5e-04,0.001,0.01,0.0345,0.1545,0.0085
"hsa-mir-19a-3p","hsa-mir-335-3p",2099,"ESR1",596,"BCL2",1,0,0,0.011,0.1,0.022,0.007
"hsa-mir-18a-5p","hsa-mir-301a-3p",2099,"ESR1",607,"BCL9",1,0,0,0,0.1085,0.4925,0.008
"hsa-mir-10a-3p","hsa-mir-19a-3p",3662,"IRF4",640,"BLK",1,0.0075,0.003,0.0475,0.0225,0.0105,0.006
"hsa-mir-16-2-3p","hsa-mir-552-3p",367,"AR",1173,"AP2M1",1,0,5e-04,0.0595,0.6195,0.0215,0.0075
"hsa-mir-19a-3p","hsa-mir-301a-3p",2099,"ESR1",1588,"CYP19A1",1,0,0,0,0.587,0.141,0.0035
"hsa-mir-20a-3p","hsa-mir-499a-5p",6664,"SOX11",1756,"DMD",1,0.0025,0.001,0.1775,0.1,0.0185,0.007
"hsa-mir-362-5p","hsa-mir-570-3p",7003,"TEAD1",1956,"EGFR",1,0,5e-04,0.307,0.9625,0.35,0.0025
"hsa-mir-18a-3p","hsa-mir-7-5p",3662,"IRF4",2208,"FCER2",1,0.0095,0.001,0.0635,0.0155,0.3995,0.0065
"hsa-mir-23b-5p","hsa-mir-429",3091,"HIF1A",2235,"FECH",1,0.005,0.0095,0.0055,0.262,0.0135,0.007
"hsa-let-7g-3p","hsa-mir-33b-5p",1385,"CREB1",2321,"FLT1",1,0.0045,0,0.0635,0.0145,0.012,0.001
"hsa-let-7g-3p","hsa-mir-19a-3p",1385,"CREB1",2321,"FLT1",1,0.002,0.001,0.1505,0.023,0.018,0.0045
"hsa-mir-18a-5p","hsa-mir-23b-5p",3091,"HIF1A",3098,"HK1",1,0,0.0035,0.0045,0.023,0.948,0.0065
"hsa-mir-18a-5p","hsa-mir-940",3091,"HIF1A",3098,"HK1",1,0,0,0.007,0.0145,0.0645,0.0015
"hsa-mir-196b-5p","hsa-mir-20a-3p",5452,"POU2F2",3112,"HLA-DOB",1,0,0,5e-04,0.057,0.0125,5e-04
"hsa-mir-18a-5p","hsa-mir-19a-3p",3091,"HIF1A",3162,"HMOX1",1,5e-04,0,0,0.045,0.2665,0.001
"hsa-mir-18b-5p","hsa-mir-19a-3p",3091,"HIF1A",3162,"HMOX1",1,0.0065,5e-04,0.0015,0.0205,0.2335,0.0055
"hsa-mir-196b-5p","hsa-mir-20a-3p",6774,"STAT3",3569,"IL6",1,0.0025,0.004,0.533,0.072,0.04,0.0035
"hsa-mir-33b-5p","hsa-mir-429",6935,"ZEB1",3691,"ITGB4",-1,0,0,0,0.026,0.4575,0.0075
"hsa-mir-514a-3p","hsa-mir-942-5p",4212,"MEIS2",3757,"KCNH2",1,0,0,0.1275,0.1175,0.033,0.004
"hsa-mir-203a-3p","hsa-mir-33a-3p",5090,"PBX3",4134,"MAP4",1,0,0.001,0.013,0.0215,0.056,0.0015
"hsa-mir-18a-5p","hsa-mir-429",3091,"HIF1A",4170,"MCL1",1,5e-04,0.0075,0,0.045,0.1095,0.0065
"hsa-mir-18a-3p","hsa-mir-345-5p",3662,"IRF4",4299,"AFF1",1,0.0045,0,0.0055,0.0885,0.047,0.001
"hsa-mir-19a-3p","hsa-mir-335-3p",2099,"ESR1",4322,"MMP13",1,0,0,0.011,0.0155,0.2185,0.0055
"hsa-mir-1180-3p","hsa-mir-1291",2113,"ETS1",4322,"MMP13",1,0.001,0.005,0.011,0.766,0.2675,0.004
"hsa-mir-18b-5p","hsa-mir-19a-3p",2099,"ESR1",4322,"MMP13",1,0,0,0,0.03,0.02,5e-04
"hsa-mir-30c-1-3p","hsa-mir-96-5p",367,"AR",4502,"MT2A",1,0.0015,0,0.196,0.7875,0.7925,0.006
"hsa-let-7g-3p","hsa-mir-376b-3p",1385,"CREB1",4763,"NF1",1,0.0025,5e-04,0.0055,0.1225,0.1145,0.0055
"hsa-mir-1304-5p","hsa-mir-589-3p",4208,"MEF2C",4772,"NFATC1",1,0,0,0.178,0.108,0.016,0.0065
"hsa-mir-224-5p","hsa-mir-429",2113,"ETS1",4790,"NFKB1",1,5e-04,0,5e-04,0.512,0.1355,0.009
"hsa-mir-18b-5p","hsa-mir-19a-3p",2099,"ESR1",5054,"SERPINE1",1,0,0,0,0.042,0.011,0.001
"hsa-mir-18b-5p","hsa-mir-19a-3p",3091,"HIF1A",5054,"SERPINE1",1,0.0065,5e-04,0.0015,0.042,0.011,0.001
"hsa-mir-18a-5p","hsa-mir-18b-5p",2099,"ESR1",5272,"SERPINB9",1,0,0,0,0.055,0.681,0.008
"hsa-mir-18a-5p","hsa-mir-19a-3p",3091,"HIF1A",5329,"PLAUR",1,5e-04,0,0,0.064,0.1455,0.0065
"hsa-mir-16-2-3p","hsa-mir-92a-1-5p",5452,"POU2F2",5450,"POU2AF1",1,0,0,0.014,0.0265,0.013,0.009
"hsa-mir-33b-5p","hsa-mir-429",6935,"ZEB1",5829,"PXN",-1,0,0,0,0.015,0.466,0.0085
"hsa-mir-135b-5p","hsa-mir-196a-5p",2308,"FOXO1",6414,"SELENOP",1,0,0.004,0.0115,0.1235,0.0785,0.0095
"hsa-mir-16-1-3p","hsa-mir-570-3p",7003,"TEAD1",6453,"ITSN1",1,0,0.002,0,0.183,0.126,0.002
"hsa-mir-570-3p","hsa-mir-625-3p",7003,"TEAD1",6453,"ITSN1",1,0.003,0,0.427,0.135,0.492,0.0015
"hsa-mir-196a-5p","hsa-mir-335-3p",4782,"NFIC",6517,"SLC2A4",1,0,0,0.001,0.277,0.3825,0.0095
"hsa-mir-18a-5p","hsa-mir-19a-3p",3091,"HIF1A",6556,"SLC11A1",1,5e-04,0,0,0.0195,0.0455,0.0035
"hsa-mir-18b-5p","hsa-mir-301a-3p",2099,"ESR1",6595,"SMARCA2",1,0,0,0.0295,0.0765,0.022,0.0015
"hsa-mir-18a-5p","hsa-mir-18b-5p",2099,"ESR1",6667,"SP1",1,0,0,0,0.055,0.0895,5e-04
"hsa-mir-19a-3p","hsa-mir-33b-5p",1385,"CREB1",6770,"STAR",1,0.001,0,0.029,0.019,0.177,0.006
"hsa-let-7g-3p","hsa-mir-19a-3p",1385,"CREB1",6770,"STAR",1,0.002,0.001,0.1505,0.416,0.0225,0.004
"hsa-mir-19a-3p","hsa-mir-335-3p",2099,"ESR1",6776,"STAT5A",1,0,0,0.011,0.3705,0.327,0.002
"hsa-mir-18a-5p","hsa-mir-19a-3p",3091,"HIF1A",6868,"ADAM17",1,5e-04,0,0,0.03,0.28,0.007
"hsa-mir-10a-3p","hsa-mir-203a-3p",5090,"PBX3",7091,"TLE4",1,0.001,0,0,0.9715,0.045,0.0095
"hsa-mir-362-5p","hsa-mir-625-3p",7003,"TEAD1",7328,"UBE2H",1,0,0,0.013,0.177,0.066,0.0095
"hsa-mir-592","hsa-mir-940",4782,"NFIC",7450,"VWF",1,5e-04,0.007,0.114,0.012,0.0685,0.001
"hsa-mir-362-5p","hsa-mir-625-3p",7003,"TEAD1",8470,"SORBS2",1,0,0,0.013,0.3545,0.025,0.0075
"hsa-mir-18a-5p","hsa-mir-429",3091,"HIF1A",8553,"BHLHE40",1,5e-04,0.0075,0,0.7255,0.3565,0.004
"hsa-mir-577","hsa-mir-625-3p",7003,"TEAD1",8821,"INPP4B",1,0,0,0.247,0.1305,0.0245,0.003
"hsa-mir-339-5p","hsa-mir-345-5p",3662,"IRF4",8837,"CFLAR",1,0,0,0.0035,0.154,0.0135,0.0025
"hsa-mir-1275","hsa-mir-30b-5p",3662,"IRF4",9267,"CYTH1",1,0,0,0.015,0.0555,0.908,5e-04
"hsa-mir-33a-5p","hsa-mir-33b-5p",10320,"IKZF1",9402,"GRAP2",1,0,0.0025,5e-04,0.132,0.857,0.004
"hsa-mir-16-1-3p","hsa-mir-570-3p",7003,"TEAD1",9462,"RASAL2",1,0,0.002,0,0.1565,0.1005,0.0045
"hsa-mir-30c-1-3p","hsa-mir-589-3p",367,"AR",9766,"SUSD6",1,0.0015,0,0.2095,0.0115,0.0345,0.0085
"hsa-mir-16-2-3p","hsa-mir-30c-1-3p",367,"AR",10957,"PNRC1",1,0,0.0015,0.0865,0.012,0.019,0.0065
"hsa-mir-16-2-3p","hsa-mir-625-5p",367,"AR",10957,"PNRC1",1,0,0,0.071,0.0135,0.2685,5e-04
"hsa-mir-30c-1-3p","hsa-mir-625-5p",367,"AR",10957,"PNRC1",1,0.0015,0,0.628,0.0265,0.2345,0.009
"hsa-mir-362-5p","hsa-mir-651-5p",639,"PRDM1",11009,"IL24",1,0,0.001,0.5655,0.0925,0.0245,0.009
"hsa-mir-30b-5p","hsa-mir-339-5p",3662,"IRF4",22806,"IKZF3",1,0,0,0,0.026,0.0205,0
"hsa-mir-33a-5p","hsa-mir-33b-5p",10320,"IKZF1",23085,"ERC1",1,0,0.0025,5e-04,0.0205,0.106,0.0035
"hsa-mir-18a-3p","hsa-mir-19a-3p",3662,"IRF4",23293,"SMG6",1,0.007,0.001,0.005,0.7175,0.013,0.009
"hsa-mir-135b-5p","hsa-mir-96-5p",4205,"MEF2A",23365,"ARHGEF12",1,5e-04,5e-04,0.0335,0.013,0.051,0.0095
"hsa-mir-33a-5p","hsa-mir-33b-5p",10320,"IKZF1",25816,"TNFAIP8",1,0,0.0025,5e-04,0.0565,0.9735,0
"hsa-mir-224-5p","hsa-mir-96-5p",4205,"MEF2A",26034,"IPCEF1",1,0,0.001,0.0065,0.0295,0.0435,0.003
"hsa-mir-10a-3p","hsa-mir-203a-3p",5090,"PBX3",26230,"TIAM2",1,0.001,0,0,0.499,0.046,0
"hsa-mir-135b-5p","hsa-mir-589-3p",4208,"MEF2C",50650,"ARHGEF3",1,0,0,0.0015,0.658,0.1985,0.003
"hsa-mir-135b-5p","hsa-mir-92a-1-5p",4205,"MEF2A",50807,"ASAP1",1,0,5e-04,0.3885,0.113,0.6585,0.0055
"hsa-mir-362-5p","hsa-mir-7-5p",7003,"TEAD1",50807,"ASAP1",1,5e-04,0.0075,0.0025,0.218,0.485,0.0015
"hsa-mir-301b-3p","hsa-mir-33a-3p",6925,"TCF4",51564,"HDAC7",1,0,0,0.027,0.013,0.041,0.006
"hsa-mir-301a-3p","hsa-mir-301b-3p",6925,"TCF4",51564,"HDAC7",1,0,5e-04,0.0135,0.0135,0.0185,0.0085
"hsa-mir-18a-5p","hsa-mir-23b-5p",3091,"HIF1A",54583,"EGLN1",1,0,0.0035,0.0045,0.7665,0.5855,0.007
"hsa-mir-570-3p","hsa-mir-625-3p",7003,"TEAD1",57142,"RTN4",1,0.003,0,0.427,0.384,0.1935,0.001
"hsa-let-7f-2-3p","hsa-mir-224-5p",4205,"MEF2A",57157,"PHTF2",1,0.002,0,0.003,0.396,0.047,0
"hsa-let-7f-2-3p","hsa-mir-23b-5p",4205,"MEF2A",57157,"PHTF2",1,0.006,0.008,0.112,0.3975,0.475,0.005
"hsa-mir-301b-3p","hsa-mir-33a-3p",6925,"TCF4",57480,"PLEKHG1",1,0,0,0.027,0.096,0.344,0.003
"hsa-mir-33a-5p","hsa-mir-33b-5p",10320,"IKZF1",57580,"PREX1",1,0,0.0025,5e-04,0.0265,0.0445,0.003
"hsa-mir-16-1-3p","hsa-mir-570-3p",7003,"TEAD1",79026,"AHNAK",1,0,0.002,0,0.0305,0.0205,0.0065
"hsa-mir-210-3p","hsa-mir-30b-5p",4094,"MAF",79567,"RIPOR1",1,0.0025,0,0.84,0.027,0.011,0
"hsa-mir-135b-5p","hsa-mir-589-3p",4208,"MEF2C",79658,"ARHGAP10",1,0,0,0.0015,0.0315,0.018,0.006
"hsa-mir-135b-5p","hsa-mir-19a-3p",4205,"MEF2A",90627,"STARD13",1,0,0,0.025,0.0685,0.173,0.003
"hsa-mir-19a-3p","hsa-mir-33b-5p",10320,"IKZF1",139818,"DOCK11",1,0,5e-04,0.05,0.0495,0.2305,0.003
"hsa-let-7f-2-3p","hsa-mir-224-5p",4205,"MEF2A",140609,"NEK7",1,0.002,0,0.003,0.025,0.08,0
"hsa-mir-16-1-3p","hsa-mir-570-3p",7003,"TEAD1",158471,"PRUNE2",1,0,0.002,0,0.017,0.1825,0
"hsa-mir-19a-3p","hsa-mir-301a-3p",2099,"ESR1",284565,"NBPF15",1,0,0,0,0.4475,0.224,0.0025
"hsa-mir-18a-5p","hsa-mir-301a-3p",2099,"ESR1",284565,"NBPF15",1,0,0,0,0.419,0.228,0.002
"hsa-mir-18a-5p","hsa-mir-18b-5p",2099,"ESR1",388677,"NOTCH2NLA",1,0,0,0,0.013,0.014,0.003
"hsa-mir-153-3p","hsa-mir-203a-3p",6591,"SNAI2",642273,"FAM110C",-1,0.004,0.001,0.4955,0.073,0.1985,0.0075
